id,action,actionLastChangedAt,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,context,contextLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,question,questionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01JQ79Y8NFMAQ3WSS01AKNRG97,"Richard is a homeless person. At the end of the day, he lies down on a bench at the station, resting his head on a makeshift pillow and wrapped in an old blanket. However, Richard never actually sleeps.",2025-03-25T14:44:50.479881-04:00,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:50.479881-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T14:44:50.479881-04:00,true,2025-03-25T14:44:56.087698-04:00,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:50.479881-04:00,0,2025-03-25T14:44:50.479881-04:00,1,2025-03-25T14:44:50.479881-04:00,Did Richard break the rule?,2025-03-25T14:44:50.479881-04:00,1,2025-03-25T14:44:50.496172-04:00,true,2025-03-25T14:44:50.572183-04:00
01JQ7A13NKVBD44HBFJ9M67CXD,"Mario drinks heavily at a nightclub. He uses his car to go back home. On his way, police stops Mario and he takes a breathalyzer test that detects traces of alcohol.",2025-03-25T14:46:23.667326-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.667326-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T14:46:23.667326-04:00,true,2025-03-25T14:46:28.716565-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.667326-04:00,0,2025-03-25T14:46:23.667326-04:00,1,2025-03-25T14:46:23.667326-04:00,Did Mario break the rule?,2025-03-25T14:46:23.667326-04:00,1,2025-03-25T14:46:23.685005-04:00,true,2025-03-25T14:46:23.804297-04:00
01JQ7A13NNXDDMY0VT01NFZY9J,Joanna walks into the park. She takes a long and relaxing stroll observing the trees and birds.,2025-03-25T14:46:23.669363-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.669363-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T14:46:23.669363-04:00,true,2025-03-25T14:46:46.38732-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.669363-04:00,4,2025-03-25T14:46:23.669363-04:00,5,2025-03-25T14:46:23.669363-04:00,Did Joanna break the rule?,2025-03-25T14:46:23.669363-04:00,1,2025-03-25T14:46:23.709303-04:00,true,2025-03-25T14:46:42.34595-04:00
01JQ7BVRRYNY53BSQZJSTJYJQT,"John is late to work and notices that the only way he can get there in time for an important meeting is by taking a shortcut through the park. He takes the shortcut, making it just in time for his meeting.",2025-03-25T15:18:25.822436-04:00,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.822436-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T15:18:25.822436-04:00,true,2025-03-25T15:20:26.1772-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.822436-04:00,0,2025-03-25T15:18:25.822436-04:00,1,2025-03-25T15:18:25.822436-04:00,Did John break the rule?,2025-03-25T15:18:25.822436-04:00,1,2025-03-25T15:18:25.868157-04:00,true,2025-03-25T15:18:26.017273-04:00
01JQ7CBAHG4HS2G881DBBBGRDE,"Richard is a homeless person. At the end of the day, he lies down on a bench at the station, resting his head on a makeshift pillow and wrapped in an old blanket. However, Richard never actually sleeps.",2025-03-25T15:26:55.536233-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.536233-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T15:26:55.536233-04:00,true,2025-03-25T15:29:37.445428-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.536233-04:00,5,2025-03-25T15:26:55.536233-04:00,6,2025-03-25T15:26:55.536233-04:00,Did Richard break the rule?,2025-03-25T15:26:55.536233-04:00,1,2025-03-25T15:26:55.591458-04:00,true,2025-03-25T15:29:32.683376-04:00
01JQ7A13NRCK4T4BC263R0H63W,"John is late to work and notices that the only way he can get there in time for an important meeting is by taking a shortcut through the park. He takes the shortcut, making it just in time for his meeting.",2025-03-25T14:46:23.672932-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.672932-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T14:46:23.672932-04:00,true,2025-03-25T14:46:51.563325-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.672932-04:00,5,2025-03-25T14:46:23.672932-04:00,6,2025-03-25T14:46:23.672932-04:00,Did John break the rule?,2025-03-25T14:46:23.672932-04:00,1,2025-03-25T14:46:23.715241-04:00,true,2025-03-25T14:46:46.400739-04:00
01JQ7A13NTETHXTVHDETC0MDAE,"Martha is late to a court appointment. She hops into her motorbike and heads downtown. Halfway through, she realizes that she might get there earlier by taking a shortcut through the park. She enters the park in her motorbike, cutting several minutes off her commute time.",2025-03-25T14:46:23.674681-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.674681-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T14:46:23.674681-04:00,true,2025-03-25T14:46:56.783758-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.674681-04:00,6,2025-03-25T14:46:23.674681-04:00,7,2025-03-25T14:46:23.674681-04:00,Did Martha break the rule?,2025-03-25T14:46:23.674681-04:00,1,2025-03-25T14:46:23.721437-04:00,true,2025-03-25T14:46:51.58002-04:00
01JQ7CBAHFDWMWQF8NPWS8T01H,"Martha is late to a court appointment. She hops into her motorbike and heads downtown. Halfway through, she realizes that she might get there earlier by taking a shortcut through the park. She enters the park in her motorbike, cutting several minutes off her commute time.",2025-03-25T15:26:55.535781-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.535781-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T15:26:55.535781-04:00,true,2025-03-25T15:29:32.668273-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.535781-04:00,4,2025-03-25T15:26:55.535781-04:00,5,2025-03-25T15:26:55.535781-04:00,Did Martha break the rule?,2025-03-25T15:26:55.535781-04:00,1,2025-03-25T15:26:55.585485-04:00,true,2025-03-25T15:29:27.562993-04:00
01JQ7CBAHJRC7V7T1XFR0QYDF7,"Robert is a homeless person. As the streets are cold and uncomfortable, he goes to the train station, lies down in one of the benches, where he sleeps soundly throughout the night.",2025-03-25T15:26:55.538456-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.538456-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T15:26:55.538456-04:00,true,2025-03-25T15:29:43.377218-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.538456-04:00,6,2025-03-25T15:26:55.538456-04:00,7,2025-03-25T15:26:55.538456-04:00,Did Robert break the rule?,2025-03-25T15:26:55.538456-04:00,1,2025-03-25T15:26:55.597579-04:00,true,2025-03-25T15:29:37.459552-04:00
01JQ7BVRS08XA8HDQJ7151WB56,"Martha is late to a court appointment. She hops into her motorbike and heads downtown. Halfway through, she realizes that she might get there earlier by taking a shortcut through the park. She enters the park in her motorbike, cutting several minutes off her commute time.",2025-03-25T15:18:25.824676-04:00,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.824676-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T15:18:25.824676-04:00,false,2025-03-25T15:18:25.824676-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.824676-04:00,4,2025-03-25T15:18:25.824676-04:00,5,2025-03-25T15:18:25.824676-04:00,Did Martha break the rule?,2025-03-25T15:18:25.824676-04:00,1,2025-03-25T15:18:25.900273-04:00,false,2025-03-25T15:18:25.824676-04:00
01JQ7BVRS26M1RKDVNN4Q6WZG6,"Julia is a businesswoman. She spent all day out of town negotiating important contracts. After a long day of work, Julia sits at one of the benches at the train station to wait for the train home. While waiting, she falls asleep for about 5 minutes, before waking up to the sound of an incoming train.",2025-03-25T15:18:25.827039-04:00,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.827039-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T15:18:25.827039-04:00,false,2025-03-25T15:18:25.827039-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.827039-04:00,5,2025-03-25T15:18:25.827039-04:00,6,2025-03-25T15:18:25.827039-04:00,Did Julia break the rule?,2025-03-25T15:18:25.827039-04:00,1,2025-03-25T15:18:25.906165-04:00,false,2025-03-25T15:18:25.827039-04:00
01JQ7CBAHHYQ7YM74AZHX4BQCX,Lewis drives his car to work after having breakfast and drinking water. He is stopped by the police on his way and takes a breathalyzer test that detects no traces of alcohol.,2025-03-25T15:26:55.537882-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.537882-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T15:26:55.537882-04:00,true,2025-03-25T15:29:27.54593-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.537882-04:00,3,2025-03-25T15:26:55.537882-04:00,4,2025-03-25T15:26:55.537882-04:00,Did Lewis break the rule?,2025-03-25T15:26:55.537882-04:00,1,2025-03-25T15:26:55.579524-04:00,true,2025-03-25T15:29:22.843593-04:00
01JQ7FVRASJRWE4XZQ5G28BPB6,Joanna walks into the park. She takes a long and relaxing stroll observing the trees and birds.,2025-03-25T16:28:19.673226-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.673226-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T16:28:19.673226-04:00,true,2025-03-25T16:33:49.195013-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.673226-04:00,7,2025-03-25T16:28:19.673226-04:00,8,2025-03-25T16:28:19.673226-04:00,Did Joanna break the rule?,2025-03-25T16:28:19.673226-04:00,1,2025-03-25T16:28:19.801162-04:00,true,2025-03-25T16:33:42.057976-04:00
01JQ79Y8NG0TWTP9KYJYMEPVF9,"Julia is a businesswoman. She spent all day out of town negotiating important contracts. After a long day of work, Julia sits at one of the benches at the train station to wait for the train home. While waiting, she falls asleep for about 5 minutes, before waking up to the sound of an incoming train.",2025-03-25T14:44:50.480868-04:00,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:50.480868-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T14:44:50.480868-04:00,true,2025-03-25T14:45:05.74619-04:00,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:50.480868-04:00,2,2025-03-25T14:44:50.480868-04:00,3,2025-03-25T14:44:50.480868-04:00,Did Julia break the rule?,2025-03-25T14:44:50.480868-04:00,1,2025-03-25T14:44:50.510648-04:00,true,2025-03-25T14:45:01.310393-04:00
01JQ7A13NKVBD44HBFK297P2TF,"Julia is a businesswoman. She spent all day out of town negotiating important contracts. After a long day of work, Julia sits at one of the benches at the train station to wait for the train home. While waiting, she falls asleep for about 5 minutes, before waking up to the sound of an incoming train.",2025-03-25T14:46:23.667798-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.667798-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T14:46:23.667798-04:00,true,2025-03-25T14:46:33.403511-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.667798-04:00,1,2025-03-25T14:46:23.667798-04:00,2,2025-03-25T14:46:23.667798-04:00,Did Julia break the rule?,2025-03-25T14:46:23.667798-04:00,1,2025-03-25T14:46:23.69178-04:00,true,2025-03-25T14:46:28.733741-04:00
01JQ7CBAHEF77CKSAEDXFFAN0D,"Andrea is late to work. While getting ready as fast as she can, Andrea uses mouthwash that contains alcohol. Despite her tardiness, Andrea drives carefully. On her way, she is stopped by the police. The breathalyzer test detects a small amount of alcohol.",2025-03-25T15:26:55.534156-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.534156-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T15:26:55.534156-04:00,true,2025-03-25T15:28:55.929098-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.534156-04:00,0,2025-03-25T15:26:55.534156-04:00,1,2025-03-25T15:26:55.534156-04:00,Did Andrea break the rule?,2025-03-25T15:26:55.534156-04:00,1,2025-03-25T15:26:55.556664-04:00,true,2025-03-25T15:26:55.69007-04:00
01JQ7FVRANRKJDM6DZPTYV11HY,"Julia is a businesswoman. She spent all day out of town negotiating important contracts. After a long day of work, Julia sits at one of the benches at the train station to wait for the train home. While waiting, she falls asleep for about 5 minutes, before waking up to the sound of an incoming train.",2025-03-25T16:28:19.669384-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.669384-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T16:28:19.669384-04:00,true,2025-03-25T16:31:54.295068-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.669384-04:00,1,2025-03-25T16:28:19.669384-04:00,2,2025-03-25T16:28:19.669384-04:00,Did Julia break the rule?,2025-03-25T16:28:19.669384-04:00,1,2025-03-25T16:28:19.704944-04:00,true,2025-03-25T16:29:54.160238-04:00
01JQ7FVRAPN0ASDDR638P82F2M,"Robert is a homeless person. As the streets are cold and uncomfortable, he goes to the train station, lies down in one of the benches, where he sleeps soundly throughout the night.",2025-03-25T16:28:19.67087-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.67087-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T16:28:19.67087-04:00,true,2025-03-25T16:33:22.512033-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.67087-04:00,3,2025-03-25T16:28:19.67087-04:00,4,2025-03-25T16:28:19.67087-04:00,Did Robert break the rule?,2025-03-25T16:28:19.67087-04:00,1,2025-03-25T16:28:19.726133-04:00,true,2025-03-25T16:33:15.459605-04:00
